geoid,county_22,cox,moore,lashar,wallace,harding,sefcik,write_ins_22,total_22,cox_percent_22,county_18,hogan,jealous,quinn,schlakman,write_ins_18,total_18,hogan_percent_18,cox_hogan_diff
24001,Allegany,13833,6390,279,143,267,0,17,20929,66.09489225476611,Allegany,19224,3985,166,139,16,20912,91.92807957153786,-25.833187316771756
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,168548,43.77091392363006,Anne Arundel,157202,69399,1366,1052,187,167960,93.59490354846392,-49.82398962483386
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,128573,8.856447310088432,Baltimore City,58360,123609,1055,1491,176,128327,45.47756902288684,-36.621121712798406
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,225973,35.73834042120077,Baltimore County,198122,122773,1633,1492,256,225271,87.94829338885165,-52.209952967650885
24009,Calvert,18447,14236,504,142,242,0,89,33660,54.80392156862746,Calvert,29610,9216,303,130,25,33571,88.20112597182091,-33.397204403193456
24011,Caroline,6727,3276,176,56,140,0,21,10396,64.70757983839938,Caroline,9489,1900,82,28,6,10375,91.46024096385543,-26.752661125456044
24013,Carroll,38969,25155,1515,436,561,0,301,66937,58.21742832812944,Carroll,62445,11767,533,261,45,66636,93.71060687916442,-35.49317855103498
24015,Cecil,18159,8691,472,155,311,21,35,27844,65.2169228559115,Cecil,27063,7354,353,154,15,27788,97.39096012667339,-32.174037270761886
24017,Charles,15096,33633,408,283,414,0,78,49912,30.24523160762943,Charles,31756,32100,274,193,37,49834,63.72356222659229,-33.47833061896286
24019,Dorchester,6169,4341,139,69,157,0,19,10894,56.62750137690472,Dorchester,9205,3043,72,39,8,10875,84.64367816091955,-28.01617678401483
24021,Frederick,44307,51423,1700,555,722,0,306,99013,44.748669366648826,Frederick,72560,33355,746,499,59,98707,73.51049064402727,-28.761821277378445
24023,Garrett,8195,2402,194,52,138,0,15,10996,74.52710076391415,Garrett,9472,1395,86,48,7,10981,86.25808214188143,-11.730981377967282
24025,Harford,51930,40837,2033,618,914,0,301,96633,53.739405793052065,Harford,85259,24012,756,461,91,96332,88.50537723705519,-34.76597144400312
24027,Howard,33110,83690,2464,802,713,0,419,121198,27.318932655654383,Howard,80574,61146,800,752,111,120779,66.71192839814869,-39.39299574249431
24029,Kent,3718,4256,106,56,93,0,10,8239,45.12683578104139,Kent,6370,2222,43,57,2,8229,77.40916271721959,-32.282326936178194
24031,Montgomery,58701,227161,3443,2444,1677,0,768,294194,19.953160159622563,Montgomery,180018,224029,1922,2110,349,293426,61.35039158084151,-41.39723142121895
24033,Prince George's,17937,179968,1081,1693,1984,0,314,202977,8.836961823260763,Prince George's,89925,225889,1469,1423,279,202663,44.37169093519784,-35.534729111937075
24035,Queen Anne's,12840,8577,416,120,212,0,89,22254,57.69749258560258,Queen Anne's,19503,3268,99,86,15,22165,87.99007444168736,-30.292581856084773
24037,Saint Mary's,20670,14365,720,263,361,0,86,36465,56.68449197860963,SaintÂ Mary's,30703,9084,410,170,27,36379,84.39759201737266,-27.71310003876303
24039,Somerset,3974,2254,67,46,81,0,6,6428,61.82327317983821,Somerset,5203,2379,71,33,16,6422,81.0183743382124,-19.195101158374186
24041,Talbot,7497,7989,289,70,128,0,44,16017,46.80651807454579,Talbot,14081,3957,79,66,7,15973,88.1550115820447,-41.3484935074989
24043,Washington,27571,17006,646,257,483,0,75,46038,59.88748425213954,Washington,38765,10894,491,268,43,45963,84.33957748623892,-24.452093234099387
24045,Wicomico,14612,12213,388,171,358,0,46,27788,52.58384914351518,Wicomico,22659,10426,284,141,24,27742,81.6776007497657,-29.09375160625052
24047,Worcester,13433,8550,273,121,161,0,31,22569,59.51969515707386,Worcester,18076,5437,148,82,12,22538,80.20232496228591,-20.682629805212052
